filename,date,counts,conc
D20171223T002115_IFCB120.roi,2017-12-23 00:21:15,3034,774.122370018756
D20171223T004806_IFCB120.roi,2017-12-23 00:48:06,2952,747.0495717497839
D20171223T013949_IFCB120.roi,2017-12-23 01:39:49,3064,788.5526044883673
D20171223T020636_IFCB120.roi,2017-12-23 02:06:36,3101,792.376828969767
D20171223T023327_IFCB120.roi,2017-12-23 02:33:27,2881,721.7888538363792
D20171223T030018_IFCB120.roi,2017-12-23 03:00:18,2903,727.4423947313425
D20171223T032710_IFCB120.roi,2017-12-23 03:27:10,2847,712.7171571822964
D20171223T035401_IFCB120.roi,2017-12-23 03:54:01,2699,665.7684507156208
D20171223T042053_IFCB120.roi,2017-12-23 04:20:53,2538,618.7684314000843
D20171223T044744_IFCB120.roi,2017-12-23 04:47:44,2424,584.3098346287463
D20171223T051436_IFCB120.roi,2017-12-23 05:14:36,2528,615.2032592144818
D20171223T054127_IFCB120.roi,2017-12-23 05:41:27,2245,535.3219490583341
D20171223T060819_IFCB120.roi,2017-12-23 06:08:19,2498,606.7588269685596
D20171223T063510_IFCB120.roi,2017-12-23 06:35:10,2607,638.8440720563182
D20171223T070202_IFCB120.roi,2017-12-23 07:02:02,2856,714.8775121461595
D20171223T072853_IFCB120.roi,2017-12-23 07:28:53,3082,782.3377480501844
D20171223T075545_IFCB120.roi,2017-12-23 07:55:45,3042,772.731371699793
D20171223T082236_IFCB120.roi,2017-12-23 08:22:36,3102,789.4051748028587
D20171223T084928_IFCB120.roi,2017-12-23 08:49:28,3088,784.409754521406
D20171223T091619_IFCB120.roi,2017-12-23 09:16:19,3090,786.8149171960055
D20171223T094311_IFCB120.roi,2017-12-23 09:43:11,3222,831.1342583635786
D20171223T101002_IFCB120.roi,2017-12-23 10:10:02,3240,833.3479083481913
D20171223T103654_IFCB120.roi,2017-12-23 10:36:54,3007,778.3910163270558
D20171223T110345_IFCB120.roi,2017-12-23 11:03:45,3286,852.9955823862383
D20171223T113037_IFCB120.roi,2017-12-23 11:30:37,3251,843.5661023950686
D20171223T115729_IFCB120.roi,2017-12-23 11:57:29,3207,828.2780906885736
D20171223T122420_IFCB120.roi,2017-12-23 12:24:20,3016,765.810326860848
D20171223T125112_IFCB120.roi,2017-12-23 12:51:12,3167,810.9168301985735
D20171223T131803_IFCB120.roi,2017-12-23 13:18:03,3196,823.0437838176098
D20171223T134455_IFCB120.roi,2017-12-23 13:44:55,2976,750.3589166390577
D20171223T141146_IFCB120.roi,2017-12-23 14:11:46,3212,824.5400788857927
D20171223T143838_IFCB120.roi,2017-12-23 14:38:38,3125,800.6969266049169
D20171223T150529_IFCB120.roi,2017-12-23 15:05:29,2912,728.8890624339037
D20171223T153221_IFCB120.roi,2017-12-23 15:32:21,3113,793.8404306781968
D20171223T155912_IFCB120.roi,2017-12-23 15:59:12,3106,791.9037151145507
D20171223T162604_IFCB120.roi,2017-12-23 16:26:04,2930,735.5098903487798
D20171223T165255_IFCB120.roi,2017-12-23 16:52:55,2881,721.2465824653215
D20171223T171947_IFCB120.roi,2017-12-23 17:19:47,3084,786.3473375742715
D20171223T174638_IFCB120.roi,2017-12-23 17:46:38,2855,714.8123899145105
D20171223T181330_IFCB120.roi,2017-12-23 18:13:30,2531,616.6318598162628
D20171223T184021_IFCB120.roi,2017-12-23 18:40:21,2619,642.4222384551647
D20171223T190713_IFCB120.roi,2017-12-23 19:07:13,3015,766.5184730952017
D20171223T193404_IFCB120.roi,2017-12-23 19:34:04,3019,767.3204351995478
D20171223T200056_IFCB120.roi,2017-12-23 20:00:56,2996,756.9821879261341
D20171223T202747_IFCB120.roi,2017-12-23 20:27:47,2959,748.9656478135215
D20171223T205338_IFCB120.roi,2017-12-23 20:53:38,2887,725.808357430573
D20171223T212030_IFCB120.roi,2017-12-23 21:20:30,3259,847.231588245968
D20171223T214721_IFCB120.roi,2017-12-23 21:47:21,3041,771.8419076906521
D20171223T221413_IFCB120.roi,2017-12-23 22:14:13,3040,772.2861065983465
D20171223T224104_IFCB120.roi,2017-12-23 22:41:04,2699,670.774153896318
D20171223T230756_IFCB120.roi,2017-12-23 23:07:56,2588,643.5649719621521
D20171223T233448_IFCB120.roi,2017-12-23 23:34:48,2717,689.7765068265534
D20171224T002630_IFCB120.roi,2017-12-24 00:26:30,2887,738.3393783218239
D20171224T005317_IFCB120.roi,2017-12-24 00:53:17,2929,740.4662131005639
D20171224T012008_IFCB120.roi,2017-12-24 01:20:08,2944,747.7433086625452
D20171224T014700_IFCB120.roi,2017-12-24 01:47:00,2978,759.4240108043239
D20171224T021351_IFCB120.roi,2017-12-24 02:13:51,2897,731.6513854148567
D20171224T024043_IFCB120.roi,2017-12-24 02:40:43,2836,710.9462152642859
D20171224T030734_IFCB120.roi,2017-12-24 03:07:34,2933,742.522998466347
D20171224T033426_IFCB120.roi,2017-12-24 03:34:26,2967,762.741210159497
D20171224T040117_IFCB120.roi,2017-12-24 04:01:17,2826,708.0875322472984
D20171224T042809_IFCB120.roi,2017-12-24 04:28:09,3073,786.2069671292317
D20171224T045501_IFCB120.roi,2017-12-24 04:55:01,3007,763.7634258663077
D20171224T052152_IFCB120.roi,2017-12-24 05:21:52,2855,719.1997359995365
D20171224T054843_IFCB120.roi,2017-12-24 05:48:43,2967,747.686066604288
D20171224T061535_IFCB120.roi,2017-12-24 06:15:35,3134,794.2978840096989
D20171224T064227_IFCB120.roi,2017-12-24 06:42:27,3414,887.3651830028241
D20171224T070918_IFCB120.roi,2017-12-24 07:09:18,3098,793.6418477252862
D20171224T073610_IFCB120.roi,2017-12-24 07:36:10,3045,781.0712449839579
D20171224T080302_IFCB120.roi,2017-12-24 08:03:02,2998,765.1000065842495
D20171224T082953_IFCB120.roi,2017-12-24 08:29:53,3218,823.0471620346606
D20171224T085645_IFCB120.roi,2017-12-24 08:56:45,2978,752.8643226243565
D20171224T092337_IFCB120.roi,2017-12-24 09:23:37,2975,752.3132050565562
D20171224T095028_IFCB120.roi,2017-12-24 09:50:28,3124,800.779657940971
D20171224T101719_IFCB120.roi,2017-12-24 10:17:19,3095,794.0987812700449
D20171224T104411_IFCB120.roi,2017-12-24 10:44:11,3278,846.3738509209802
D20171224T111102_IFCB120.roi,2017-12-24 11:11:02,3107,792.0883957392936
D20171224T113754_IFCB120.roi,2017-12-24 11:37:54,3038,768.7315044541133
D20171224T120446_IFCB120.roi,2017-12-24 12:04:46,2880,722.1882303379239
D20171224T123137_IFCB120.roi,2017-12-24 12:31:37,2999,760.6524312977913
D20171224T125829_IFCB120.roi,2017-12-24 12:58:29,2990,754.0376953279168
D20171224T132520_IFCB120.roi,2017-12-24 13:25:20,2959,746.1369321391109
D20171224T135212_IFCB120.roi,2017-12-24 13:52:12,2906,730.8922972603863
D20171224T141903_IFCB120.roi,2017-12-24 14:19:03,2753,682.4803114470269
D20171224T144555_IFCB120.roi,2017-12-24 14:45:55,2670,657.0247262766088
D20171224T151246_IFCB120.roi,2017-12-24 15:12:46,2724,672.4854930511067
D20171224T153938_IFCB120.roi,2017-12-24 15:39:38,2689,660.9502296365756
D20171224T160629_IFCB120.roi,2017-12-24 16:06:29,2741,677.3266330466206
D20171224T163321_IFCB120.roi,2017-12-24 16:33:21,2708,666.0766755591675
D20171224T170012_IFCB120.roi,2017-12-24 17:00:12,2661,651.4423535943902
D20171224T172704_IFCB120.roi,2017-12-24 17:27:04,2381,570.2412161058536
D20171224T175355_IFCB120.roi,2017-12-24 17:53:55,2620,637.4126689903845
D20171224T182046_IFCB120.roi,2017-12-24 18:20:46,2614,636.419611365276
D20171224T184738_IFCB120.roi,2017-12-24 18:47:38,2604,632.2042515007566
D20171224T191429_IFCB120.roi,2017-12-24 19:14:29,2580,624.2904140932835
D20171224T194121_IFCB120.roi,2017-12-24 19:41:21,2641,644.4880773366169
D20171224T200812_IFCB120.roi,2017-12-24 20:08:12,2672,653.8773926051655
D20171224T203504_IFCB120.roi,2017-12-24 20:35:04,2786,689.755228498131
D20171224T210155_IFCB120.roi,2017-12-24 21:01:55,2827,702.4752624094231
D20171224T212847_IFCB120.roi,2017-12-24 21:28:47,2878,717.3223885589322
D20171224T215539_IFCB120.roi,2017-12-24 21:55:39,2833,704.5279786885883
D20171224T222230_IFCB120.roi,2017-12-24 22:22:30,2902,725.2122720310717
D20171224T231413_IFCB120.roi,2017-12-24 23:14:13,2740,704.2821899371955
D20171224T234059_IFCB120.roi,2017-12-24 23:40:59,2877,725.9785507025489
